engine,order,ns
EngineV3,32,110.0
EngineV3,33,100.0
EngineV3,34,100.0
EngineV3,35,330.0
EngineV3,36,120.0
EngineV3,37,70.0
EngineV3,38,50.0
EngineV3,39,60.0
EngineV3,40,390.0
EngineV3,41,80.0
EngineV3,42,140.0
EngineV3,43,130.0
EngineV3,44,120.0
EngineV3,45,150.0
EngineV3,46,80.0
EngineV3,47,50.0
EngineV3,48,50.0
EngineV3,49,50.0
EngineV3,50,140.0
EngineV3,51,360.0
EngineV3,52,60.0
EngineV3,53,120.0
EngineV3,54,40.0
EngineV3,55,130.0
EngineV3,56,120.0
EngineV3,57,30.0
EngineV3,58,50.0
EngineV3,59,190.0
EngineV3,60,90.0
EngineV3,61,120.0
EngineV3,62,130.0
EngineV3,63,50.0
EngineV3,64,170.0
EngineV3,65,70.0
EngineV3,66,50.0
EngineV3,67,120.0
EngineV3,68,120.0
EngineV3,69,40.0
EngineV3,70,140.0
EngineV3,71,50.0
EngineV3,72,120.0
EngineV3,73,340.0
EngineV3,74,110.0
EngineV3,75,50.0
EngineV3,76,160.0
EngineV3,77,120.0
EngineV3,78,480.0
EngineV3,79,110.0
EngineV3,80,140.0
EngineV3,81,110.0
EngineV3,82,100.0
EngineV3,83,90.0
EngineV3,84,140.0
EngineV3,85,40.0
EngineV3,86,60.0
EngineV3,87,120.0
EngineV3,88,60.0
EngineV3,89,50.0
EngineV3,90,110.0
EngineV3,91,40.0
EngineV3,92,40.0
EngineV3,93,40.0
EngineV3,94,100.0
EngineV3,95,100.0
EngineV3,96,110.0
EngineV3,97,110.0
EngineV3,98,50.0
EngineV3,99,140.0
EngineV4,0,150.0
EngineV4,1,120.0
EngineV4,2,90.0
EngineV4,3,130.0
EngineV4,4,170.0
EngineV4,5,220.0
EngineV4,6,160.0
EngineV4,7,220.0
EngineV4,8,140.0
EngineV4,9,130.0
EngineV4,10,150.0
EngineV4,11,50.0
EngineV4,12,170.0
EngineV4,13,60.0
EngineV4,14,250.0
EngineV4,15,220.0
EngineV4,16,180.0
EngineV4,17,150.0
EngineV4,18,200.0
EngineV4,19,270.0
EngineV4,20,190.0
EngineV4,21,180.0
EngineV4,22,170.0
