34200.015105074,4,15818974,4,5794000,1
34200.05990197,4,15818974,300,5794000,1
34200.113246707,5,0,1,5795100,1
34200.113246707,5,0,1,5795000,1
34200.113246707,5,0,1,5794900,1
34200.113246707,5,0,1,5794800,1
34200.113246707,4,15818974,167,5794000,1
34200.154178213,1,16155653,100,5794000,1
34200.173594288,1,16160421,100,5791200,1
34200.202322801,1,7091133,40,5790000,1
34200.202322801,1,4773921,25,5798900,-1
34200.202322801,1,9248169,1,5790000,1
34200.202322801,1,1910227,50,5799500,-1
34200.202322801,1,4496151,1,5789900,1
34200.202322801,1,12686268,5,5799800,-1
34200.202322801,1,4773351,9,5785000,1
34200.202322801,1,1333270,1,5800000,-1
34200.202322801,1,858821,10,5782100,1
34200.202322801,1,1376018,50,5800000,-1
34200.202322801,1,2175511,5,5780000,1
34200.202322801,1,1536073,6,5800000,-1
34200.202322801,1,5858286,5,5780000,1
34200.202322801,1,2131996,42,5800000,-1
34200.202322801,1,9476859,28,5780000,1
34200.202322801,1,2133235,63,5800000,-1
34200.202322801,1,9618128,50,5780000,1
34200.202322801,1,2391610,40,5800000,-1
34200.202322801,1,12797564,86,5780000,1
34200.202322801,1,3557490,60,5800000,-1
34200.202322801,1,2176461,1,5779900,1
34200.202322801,1,3843275,75,5800000,-1
34200.202322801,1,3843276,7,5800000,-1
34200.202322801,1,3843277,30,5800000,-1
34200.202322801,1,4753104,535,5800000,-1
34200.202322801,1,4773941,5,5800000,-1
34200.202322801,1,4796277,10,5800000,-1
34200.202322801,1,4861925,13,5800000,-1
34200.202322801,1,10242240,500,5800000,-1
34200.202322801,1,13233299,1000,5800000,-1
34200.202322801,1,13488904,100,5800000,-1
34200.202322801,1,3843279,10,5800100,-1
34200.202322801,1,872780,10,5801000,-1
34200.203135277,4,15818974,29,5794000,1
34200.203135277,4,16155653,100,5794000,1
34200.205075239,3,15836644,100,5769400,1
34200.205119161,3,15836673,100,5804300,-1
34200.205158699,3,15845938,100,5771800,1
34200.205183697,3,15845942,100,5806700,-1
34200.2070117,1,16167456,1,5794000,-1
34200.207763353,4,16167456,1,5794000,-1
34200.207763353,1,16167632,99,5794000,1
34200.236450238,4,16167632,11,5794000,1
34200.236927202,1,16174771,75,5791900,1
34200.249457498,4,16167632,29,5794000,1
34200.35865663,5,0,4,5797300,-1
34200.501687061,1,16228038,100,5797900,-1
34200.502444619,1,16228180,10,5797900,-1
34200.633496578,1,16252843,100,5794000,1
34200.648004834,1,16255142,200,5800000,-1
34200.65035666,1,16255672,200,5800000,-1
34200.696339803,5,0,100,5794600,1
