engine,command_type,order_strategy,levels,orders_per_level,m_orders_per_second
EngineV1,Place,Reverse,1000,100,15.751
EngineV2,Place,Reverse,1000,100,14.956
EngineV3,Place,Reverse,1000,100,42.855
EngineV4,Place,Reverse,1000,100,53.181
EngineV5,Place,Reverse,1000,100,51.739
EngineV1,Place,Reverse,10000,10,4.529
EngineV2,Place,Reverse,10000,10,12.733
EngineV3,Place,Reverse,10000,10,28.806
EngineV4,Place,Reverse,10000,10,30.878
EngineV5,Place,Reverse,10000,10,30.351
EngineV1,Place,Reverse,10000,1000,4.0157
EngineV2,Place,Reverse,10000,1000,4.1231
EngineV3,Place,Reverse,10000,1000,27.44
EngineV4,Place,Reverse,10000,1000,53.599
EngineV5,Place,Reverse,10000,1000,55.56
EngineV1,Place,Random,1,100000,21.848
EngineV2,Place,Random,1,100000,17.204
EngineV3,Place,Random,1,100000,57.058
EngineV4,Place,Random,1,100000,72.544
EngineV5,Place,Random,1,100000,62.122
EngineV1,Place,Random,10,10000,19.021
EngineV2,Place,Random,10,10000,15.428
EngineV3,Place,Random,10,10000,41.553
EngineV4,Place,Random,10,10000,44.952
EngineV5,Place,Random,10,10000,61.517
EngineV1,Place,Random,100,1000,17.865
EngineV2,Place,Random,100,1000,12.78
EngineV3,Place,Random,100,1000,29.201
EngineV4,Place,Random,100,1000,26.208
EngineV5,Place,Random,100,1000,43.779
EngineV1,Place,Random,1000,100,15.084
EngineV2,Place,Random,1000,100,10.275
EngineV3,Place,Random,1000,100,17.539
EngineV4,Place,Random,1000,100,11.287
EngineV5,Place,Random,1000,100,17.795
EngineV1,Place,Random,10000,10,5.5725
EngineV2,Place,Random,10000,10,7.2371
EngineV3,Place,Random,10000,10,10.136
EngineV4,Place,Random,10000,10,7.6716
EngineV5,Place,Random,10000,10,11.634
EngineV1,Place,Random,10000,1000,3.8228
EngineV2,Place,Random,10000,1000,3.0814
EngineV3,Place,Random,10000,1000,8.658
EngineV4,Place,Random,10000,1000,8.0086
EngineV5,Place,Random,10000,1000,15.638
