engine,batch,m_orders_per_second
EngineV5,1,8.26856292376385
EngineV5,2,10.87429317094389
EngineV5,3,12.645422357106728
EngineV5,4,13.13697928298367
EngineV5,5,13.583265417006247
EngineV5,6,12.64846131468107
EngineV5,7,12.777919754663941
EngineV5,8,13.740038472107722
EngineV5,9,10.488666995311567
EngineV5,10,13.428226131328053
EngineV5,11,14.036860796451482
EngineV5,12,13.945056477478733
EngineV5,13,13.738150844896277
EngineV5,14,13.987774684925377
EngineV5,15,14.39884809215263
EngineV5,16,14.322543683758235
EngineV5,17,13.921759710427398
EngineV5,18,13.796909492273732
EngineV5,19,11.35834440771913
EngineV5,20,13.808340237503453
EngineV5,21,14.36162573603332
EngineV5,22,14.351320321469576
EngineV5,23,14.206563432305726
EngineV5,24,15.130882130428205
EngineV5,25,15.103458692040476
EngineV5,26,14.662756598240469
EngineV5,27,15.003525828569716
EngineV5,28,13.2520540683806
EngineV5,29,13.25381047051027
EngineV5,30,14.488554042306578
EngineV5,31,13.777900248002204
EngineV5,32,14.742521855788652
EngineV5,33,14.667057788207686
EngineV5,34,14.558159848595139
EngineV5,35,14.749044999336293
EngineV5,36,14.641288433382137
EngineV5,37,14.738393515106855
EngineV5,38,14.484147100997957
EngineV5,39,13.933398355858994
EngineV5,40,13.823610727121924
EngineV5,41,13.873473917869035
EngineV5,42,14.894250819183796
EngineV5,43,14.792680581648199
EngineV5,44,14.3000143000143
EngineV5,45,15.140045420136259
EngineV5,46,15.23670216818272
EngineV5,47,15.460729746444033
EngineV5,48,14.558159848595139
EngineV5,49,14.384349827387803
EngineV5,50,13.73437714599643
EngineV5,51,14.351114364030368
EngineV5,52,14.847809948032666
EngineV5,53,15.487068297971195
EngineV5,54,15.283275511607647
EngineV5,55,14.999250037498125
EngineV5,56,15.105740181268883
EngineV5,57,15.403336362656152
EngineV5,58,15.775358889414735
EngineV5,59,13.48435814455232
EngineV5,60,14.845385311975773
EngineV5,61,15.290519877675841
EngineV5,62,14.108352144469526
EngineV5,63,15.56420233463035
EngineV5,64,15.290519877675841
EngineV5,65,15.593082908421824
EngineV5,66,15.297537096527458
EngineV5,67,14.9902563333833
EngineV5,68,15.578507890514247
EngineV5,69,13.958682300390844
EngineV5,70,15.146925174189642
EngineV5,71,15.151285586582024
EngineV5,72,15.634771732332707
EngineV5,73,15.31159087429184
EngineV5,74,15.165071806615005
EngineV5,75,15.330369461904032
EngineV5,76,15.382248884786955
EngineV5,77,15.410695022345509
EngineV5,78,15.413070283600494
EngineV5,79,15.169902912621358
EngineV5,80,15.434480629726812
EngineV5,81,14.744913005013272
EngineV5,82,14.72298699960248
EngineV5,83,15.634771732332707
EngineV5,84,15.61036528254761
EngineV5,85,16.079497033332796
